employee_id,first_name,last_name,age,email,gender,job_title,department,salary,hire_date,address,city,state,postal_code,country,phone_number,ssn,start_time,end_time,overtime_hours,vacation_days,performance_rating,manager_id,benefits_package,training_completed,work_location,emergency_contact_name,emergency_contact_phone,employee_photo
1,Terry,Jeness,55,tjeness0@wiley.com,Male,Help Desk Technician,Training,Euro,8/5/2009,7 Scofield Circle,Boticas,Vila Real,5460-304,Portugal,353-195-1774,283-34-5163,5:54 AM,1:26 PM,3,8,5,1,paid time off,FALSE,remote,Terry Jeness,559-574-7074,https://robohash.org/voluptatemadexercitationem.png?size=50x50&set=set1
2,Letta,Cases,52,lcases1@behance.net,Female,Project Manager,Business Development,Yuan Renminbi,12/30/2021,633 Gateway Trail,Jinyuan,BLANKS,BLANKS,China,863-420-2869,519-61-2415,1:16 PM,1:02 PM,6,20,2,2,paid time off,FALSE,office,Letta Cases,340-758-1177,https://robohash.org/atqueveroipsa.png?size=50x50&set=set1
3,Nathanial,Van der Merwe,57,nvan2@skyrock.com,Male,Project Manager,Legal,Peso,5/20/2018,260 Esker Point,Pitogo,BLANKS,7033,Philippines,189-886-7491,338-39-8535,4:48 PM,8:33 AM,5,15,3,3,health insurance,FALSE,office,Nathanial Van der Merwe,752-283-2044,https://robohash.org/rationeablibero.png?size=50x50&set=set1
4,Steffen,Swiers,55,sswiers3@aboutads.info,Male,Engineer III,Human Resources,Pound,5/2/2021,3 Scofield Road,Ash Shaddadah,BLANKS,BLANKS,Syria,427-548-1448,396-93-5777,12:58 PM,7:09 PM,5,5,3,4,paid time off,TRUE,remote,Steffen Swiers,552-376-9789,https://robohash.org/distinctioremsimilique.png?size=50x50&set=set1
5,Micki,Schneider,42,mschneider4@sitemeter.com,Female,Health Coach IV,Marketing,Hryvnia,5/2/2015,98019 Maple Wood Crossing,Olyshivka,BLANKS,BLANKS,Ukraine,925-486-3812,818-79-2470,11:03 PM,2:08 AM,14,25,1,5,retirement plan,FALSE,remote,Micki Schneider,512-759-6712,https://robohash.org/beataemaioresiste.png?size=50x50&set=set1
6,Sidney,Polden,24,spolden5@parallels.com,Male,Financial Analyst,Research and Development,Ruble,12/16/2008,40815 Weeping Birch Lane,Buynichy,BLANKS,BLANKS,Belarus,657-518-6411,632-11-3392,9:34 PM,3:34 PM,0,0,2,6,health insurance,FALSE,office,Sidney Polden,210-762-5667,https://robohash.org/nesciuntexcepturiquibusdam.png?size=50x50&set=set1
7,Donny,Vigus,66,dvigus6@yellowbook.com,Female,Senior Editor,Engineering,Euro,7/31/2008,842 Quincy Road,Chantilly,Picardie,60506 CEDEX,France,595-797-6368,782-43-7188,7:29 AM,8:57 PM,15,11,2,7,health insurance,TRUE,remote,Donny Vigus,726-542-5252,https://robohash.org/doloripsamtempore.png?size=50x50&set=set1
8,Aloisia,Cansfield,19,acansfield7@ca.gov,Female,Paralegal,Legal,Euro,3/19/2001,73041 Badeau Alley,Düsseldorf,Nordrhein-Westfalen,40489,Germany,805-708-9774,257-28-4797,4:01 AM,10:11 AM,5,14,4,8,retirement plan,TRUE,office,Aloisia Cansfield,874-898-2476,https://robohash.org/utmagnamlabore.png?size=50x50&set=set1
9,Cheryl,Nicholas,38,cnicholas8@google.it,Genderqueer,Help Desk Technician,Sales,Zloty,12/25/2021,69 Carberry Lane,Narol,BLANKS,37-610,Poland,118-349-7577,273-79-9350,6:23 PM,1:50 AM,18,26,4,9,health insurance,FALSE,remote,Cheryl Nicholas,800-656-5867,https://robohash.org/aspernaturfaceretemporibus.png?size=50x50&set=set1
10,Anatol,Howick,56,ahowick9@g.co,Male,Software Consultant,Services,Peso,8/16/2017,82 Hoffman Place,Independencia,Guanajuato,38260,Mexico,239-288-0003,399-57-5654,2:37 AM,11:24 AM,14,19,5,10,health insurance,FALSE,remote,Anatol Howick,684-686-0156,https://robohash.org/optioprovidentvoluptas.png?size=50x50&set=set1
11,Timothea,Ranklin,66,tranklina@howstuffworks.com,Female,Help Desk Technician,Sales,Peso,3/1/2010,82 Sachtjen Drive,Tawala,BLANKS,5109,Philippines,474-966-0581,487-52-4386,5:44 PM,12:32 AM,18,27,1,11,retirement plan,TRUE,remote,Timothea Ranklin,590-461-5818,https://robohash.org/eumevenietenim.png?size=50x50&set=set1
12,Barnett,Birden,54,bbirdenb@howstuffworks.com,Male,Systems Administrator II,Training,Rupiah,7/11/2016,1 Sutteridge Junction,Masebewa,BLANKS,BLANKS,Indonesia,971-415-5721,256-69-4638,11:08 AM,6:37 PM,2,12,2,12,retirement plan,FALSE,remote,Barnett Birden,895-605-3549,https://robohash.org/similiqueetaliquid.png?size=50x50&set=set1
13,Rex,Wisson,44,rwissonc@github.io,Polygender,Safety Technician I,Accounting,Yuan Renminbi,7/17/2000,34 Luster Plaza,Linjiang,BLANKS,BLANKS,China,758-419-1442,774-22-5526,8:24 AM,9:58 AM,2,2,1,13,paid time off,FALSE,office,Rex Wisson,381-846-1174,https://robohash.org/providentconsequaturnon.png?size=50x50&set=set1
14,Cecil,Smallsman,27,csmallsmand@imgur.com,Male,Clinical Specialist,Services,Yuan Renminbi,11/5/2017,841 Loeprich Drive,Leicheng,BLANKS,BLANKS,China,932-199-5528,364-21-7012,1:29 PM,3:05 PM,8,13,4,14,health insurance,TRUE,office,Cecil Smallsman,881-161-3491,https://robohash.org/nihilvitaeneque.png?size=50x50&set=set1
